no,pertanyaan,A,B,C,D,jawaban_benar
1,Ada enam anak. 3 laki-laki dan 3 perempuan duduk berjajar. Peluang 2 perempuan duduk berdampingan adalah,1/30,1/15,1/10,1/3,D
2,Sel saraf yang berfungsi mengirimkan impuls dari sistem saraf pusat ke otot dan kelenjar adalah,neuron sensori,neuron aferen,neuron eferen,neuroglia,C
3,Aliran darah yang bergerak paling lambat terjadi pada,arteriol,aorta,kapiler,vena,B
4,Fertilisasi pada tumbuhan dari golongan Angiospermae terjadi di dalam,stigma,stilus,ovarium,ovulum,C
5,Bagian sel yang dimiliki oleh sel eukariot maupun sel prokariot adalah,ribosom,retikulum endoplasma,badan golgi,mitokondria,A






